N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
167,더존비즈온,"51,800","1,200",-2.26%,500,"15,738","30,383",38.86,"85,441",25.35,15.09,
168,대웅,"26,700",50,-0.19%,500,"15,524","58,142",4.24,"67,018",14.70,15.10,
169,롯데칠성,"166,500","1,000",-0.60%,500,"15,449","9,279",9.01,"42,385",19.68,-1.00,
170,한전KPS,"34,000","1,100",-3.13%,200,"15,300","45,000",7.13,"194,591",12.66,8.23,
171,아이에스동서,"49,000","2,300",-4.48%,500,"15,137","30,893",4.19,"131,508",28.06,10.92,
172,KODEX 삼성그룹,"8,905",165,-1.82%,0,"15,121","169,800",0.30,"306,406",N/A,N/A,
173,현대엘리베이,"36,950",900,-2.38%,"5,000","15,081","40,815",29.36,"162,333",23.81,9.78,
174,일진하이솔루스,"41,350","1,100",-2.59%,500,"15,016","36,313",1.72,"102,108",77.15,34.27,
175,동국제강,"15,300","1,000",-6.13%,"5,000","14,601","95,433",22.37,"623,020",3.23,3.35,
176,KODEX 종합채권(AA-이상)액티브,"106,035",75,+0.07%,0,"14,271","13,459",0.00,"2,455",N/A,N/A,
177,두산,"86,300","4,600",-5.06%,"5,000","14,260","16,524",10.91,"95,030",-49.71,-34.34,
178,케이카,"28,850",350,+1.23%,500,"13,873","48,087",18.49,"149,288",47.92,15.11,
179,TIGER 단기통안채,"100,595",0,0.00%,0,"13,469","13,389",0.88,"1,376,284",N/A,N/A,
180,TIGER 미국S&P500,"13,290",170,-1.26%,0,"13,237","99,600",0.04,"2,055,865",N/A,N/A,
181,LIG넥스원,"59,500",700,-1.16%,"5,000","13,090","22,000",6.27,"495,348",13.87,8.86,
182,롯데리츠,"5,370",30,-0.56%,500,"13,047","242,969",9.62,"168,559",33.56,1.68,
183,ESR켄달스퀘어리츠,"6,070",10,+0.17%,"1,000","12,934","213,089",31.94,"140,333",159.74,1.14,
184,한일시멘트,"18,500","1,300",-6.57%,500,"12,813","69,262",2.58,"262,998",12.19,N/A,
185,NHN,"34,100","1,400",-3.94%,500,"12,794","37,518",19.44,"92,037",39.38,1.35,
186,한국앤컴퍼니,"13,450",200,-1.47%,500,"12,769","94,935",9.65,"61,843",5.16,5.08,
187,신풍제약,"23,950",850,-3.43%,500,"12,690","52,985",10.46,"481,010","3,991.67",1.72,
188,티와이홀딩스,"24,750",950,-3.70%,500,"12,605","50,929",5.14,"39,516",2.13,N/A,
189,PI첨단소재,"42,900",500,-1.15%,500,"12,598","29,366",12.83,"152,504",21.54,15.62,
190,코리안리,"10,450",200,+1.95%,500,"12,579","120,369",31.84,"455,391",8.01,5.78,
191,LS ELECTRIC,"41,800",500,-1.18%,"5,000","12,540","30,000",17.74,"145,724",15.48,6.15,
192,현대두산인프라코어,"6,330",120,-1.86%,"1,000","12,498","197,435",9.79,"1,044,266",5.41,6.47,
193,롯데관광개발,"17,700",50,+0.28%,500,"12,262","69,276",6.00,"857,895",-6.20,-30.43,
194,TIGER 미국테크TOP10 INDXX,"11,470",280,-2.38%,0,"12,238","106,700",0.00,"1,094,888",N/A,N/A,
195,롯데렌탈,"33,100",650,-1.93%,"5,000","12,126","36,634",1.65,"69,447",11.48,6.73,
196,에스엘,"25,150",250,-0.98%,500,"12,123","48,203",14.86,"120,800",8.34,4.74,
197,DL,"56,800","1,200",-2.07%,"5,000","11,903","20,956",11.75,"37,002",1.80,11.84,
198,명신산업,"22,550","1,250",-5.25%,500,"11,832","52,470",2.33,"380,595",-9.78,-67.39,
199,대한전선,"1,380",55,-3.83%,100,"11,819","856,473",1.34,"6,819,190",38.33,0.92,
200,영풍,"638,000","20,000",-3.04%,"5,000","11,752","1,842",4.16,"2,585",9.91,4.03,
